"Model","Forecast_Error","Bias","MAD","MSE","MAPE_pct","RSFE","Tracking_Signal","Next_Period_Forecast","Rank_MAD","Rank_MAPE"
"Naïve",-9434.14,2355260.36,2395244.43,9480346880540,36.76,28263124,11.8,2973141.68,7,7
"Moving Average (k=3)",-67242.32,2297452.18,2356705.64,9211381996838,36.19,27569426,11.698,3086042.97,6,6
"Weighted Moving Average (k=3)",-5035.33,2359659.17,2398176.97,9501086908248,36.81,28315910,11.807,2992752.97,9,9
"Simple Exponential Smoothing",-9420.93,2355273.57,2395253.23,9480409091704,36.76,28263283,11.8,2973127.07,8,7
"Trend-Adjusted Exponential Smoothing",557232.53,2662204.81,2662204.81,10672870303162,42.93,31946458,12,2926046.54,10,10
"Linear Trend Projection",-1452140.8,967373.73,1830242.38,4949060236531,32.96,11608485,6.343,4687517.17,4,4
"Seasonal Indices",227044.49,756266.85,1719001.43,3988558448769,32.26,9075202,5.279,3045719.01,1,3
"Additive Decomposition",210384.07,1028473.5,1785974.17,4255649870500,31.67,12341682,6.91,3298375.26,3,2
"Multiplicative Decomposition",546770.37,1027060.6,1893431.18,4804465081529,34.74,12324727,6.509,2875920.06,5,5
"Regression (Trend + Seasonal Dummies)",60518.58,979152.14,1722196.01,4024748751904,30.4,11749826,6.823,3392072.52,2,1
